1;1,.
1;1,5
1;2
1;2,5
1;3
1;4
1;5
1;6
1;8
1;10
1;12
2;1,375
2;1,75
2;2,.
2;2,75
2;3,5
2;4,5
2;5,5
2;7
2;9
2;11
2;14
